2026-06-06 14:08:55,016 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : H2502
2026-06-06 14:08:55,036 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : M1802
2026-06-06 14:08:55,061 | INFO | scripts.import_formations_enriched | Import de la formation : Licence Professionnelle Activités juridiques : mandataire judiciaire à la protection des majeurs (fiche nationale) (SIRET: 13002979600013)
2026-06-06 14:08:55,063 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2025, 10)
2026-06-06 14:08:55,067 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : K1102
2026-06-06 14:08:55,068 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2025, 9)
2026-06-06 14:08:55,090 | INFO | scripts.import_formations_enriched | Import de la formation : TP Développeur web et web mobile (SIRET: 90817892400019)
2026-06-06 14:08:55,092 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2024, 2)
2026-06-06 14:08:55,096 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : M1805
2026-06-06 14:08:55,115 | INFO | scripts.import_formations_enriched | Import de la formation : Journaliste web (SIRET: 52037450500045)
2026-06-06 14:08:55,116 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2025, 10)
2026-06-06 14:08:55,121 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : E1104
2026-06-06 14:08:55,126 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : E1106
2026-06-06 14:08:55,131 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : E1205
2026-06-06 14:08:55,135 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : L1103
2026-06-06 14:08:55,157 | INFO | scripts.import_formations_enriched | Import de la formation : Concepteur développeur d'applications web (SIRET: 79494991700080)
2026-06-06 14:08:55,158 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2025, 7)
2026-06-06 14:08:55,163 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : E1205
2026-06-06 14:08:55,166 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : M1803
2026-06-06 14:08:55,171 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : M1805
2026-06-06 14:08:55,172 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2026, 4)
2026-06-06 14:08:55,174 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2024, 10)
2026-06-06 14:08:55,176 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2025, 10)
2026-06-06 14:08:55,177 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2025, 1)
2026-06-06 14:08:55,178 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2025, 4)
2026-06-06 14:08:55,200 | INFO | scripts.import_formations_enriched | Import de la formation : TP Technicien supérieur systèmes et réseaux (SIRET: 83924151000024)
2026-06-06 14:08:55,202 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2025, 4)
2026-06-06 14:08:55,207 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : I1401
2026-06-06 14:08:55,211 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : M1810
2026-06-06 14:08:55,212 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2024, 4)
2026-06-06 14:08:55,213 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2024, 9)
2026-06-06 14:08:55,214 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2025, 9)
2026-06-06 14:08:55,216 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2025, 1)
2026-06-06 14:08:55,217 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2025, 7)
2026-06-06 14:08:55,218 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2024, 1)
2026-06-06 14:08:55,242 | INFO | scripts.import_formations_enriched | Import de la formation : Titre ingénieur Ingénieur diplômé du CESI, spécialité informatique (SIRET: 77572257200846)
2026-06-06 14:08:55,244 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2026, 4)
2026-06-06 14:08:55,248 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : M1802
2026-06-06 14:08:55,253 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : M1803
2026-06-06 14:08:55,257 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : M1804
2026-06-06 14:08:55,261 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : M1805
2026-06-06 14:08:55,266 | INFO | scripts.import_formations_enriched |   - Ajout du code ROME : M1806
2026-06-06 14:08:55,267 | INFO | scripts.import_formations_enriched |   - Ajout du flux mensuel : (2026, 5)
